# Multiwfn Excited-State Analysis (CTS)
- **Generated:** 2025-08-13T15:24:02

## CTS: Per-state summary (wide)
| state | Frag 1 Hole (%) | Frag 1 Electron (%) | Frag 2 Hole (%) | Frag 2 Electron (%) | Frag 3 Hole (%) | Frag 3 Electron (%) |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 15.270000 | 1.560000 | 53.370000 | 11.140000 | 31.370000 | 87.300000 |
| 2 | 0.020000 | 0.410000 | 0.330000 | 3.090000 | 99.650000 | 96.500000 |
| 3 | 1.540000 | 2.400000 | 93.100000 | 21.560000 | 5.360000 | 76.030000 |
| 4 | 6.240000 | 1.060000 | 16.300000 | 7.970000 | 77.450000 | 90.960000 |
| 5 | 3.380000 | 0.730000 | 7.790000 | 5.360000 | 88.830000 | 93.910000 |
| 6 | 13.070000 | 0.280000 | 41.650000 | 2.470000 | 45.280000 | 97.250000 |
| 7 | 3.860000 | 1.220000 | 14.430000 | 16.300000 | 81.710000 | 82.480000 |
| 8 | 16.760000 | 1.420000 | 55.800000 | 70.160000 | 27.440000 | 28.430000 |
| 9 | 1.430000 | 0.580000 | 8.820000 | 8.880000 | 89.750000 | 90.530000 |
| 10 | 17.920000 | 5.400000 | 51.060000 | 47.770000 | 31.020000 | 46.830000 |

## CTS: Fragment contributions per state (long)
| state | fragment | hole_pct | electron_pct |
| --- | --- | --- | --- |
| 1 | 1 | 15.270000 | 1.560000 |
| 1 | 2 | 53.370000 | 11.140000 |
| 1 | 3 | 31.370000 | 87.300000 |
| 2 | 1 | 0.020000 | 0.410000 |
| 2 | 2 | 0.330000 | 3.090000 |
| 2 | 3 | 99.650000 | 96.500000 |
| 3 | 1 | 1.540000 | 2.400000 |
| 3 | 2 | 93.100000 | 21.560000 |
| 3 | 3 | 5.360000 | 76.030000 |
| 4 | 1 | 6.240000 | 1.060000 |
| 4 | 2 | 16.300000 | 7.970000 |
| 4 | 3 | 77.450000 | 90.960000 |
| 5 | 1 | 3.380000 | 0.730000 |
| 5 | 2 | 7.790000 | 5.360000 |
| 5 | 3 | 88.830000 | 93.910000 |
| 6 | 1 | 13.070000 | 0.280000 |
| 6 | 2 | 41.650000 | 2.470000 |
| 6 | 3 | 45.280000 | 97.250000 |
| 7 | 1 | 3.860000 | 1.220000 |
| 7 | 2 | 14.430000 | 16.300000 |
| 7 | 3 | 81.710000 | 82.480000 |
| 8 | 1 | 16.760000 | 1.420000 |
| 8 | 2 | 55.800000 | 70.160000 |
| 8 | 3 | 27.440000 | 28.430000 |
| 9 | 1 | 1.430000 | 0.580000 |
| 9 | 2 | 8.820000 | 8.880000 |
| 9 | 3 | 89.750000 | 90.530000 |
| 10 | 1 | 17.920000 | 5.400000 |
| 10 | 2 | 51.060000 | 47.770000 |
| 10 | 3 | 31.020000 | 46.830000 |

