# Multiwfn Excited-State Analysis (NTOs)
- **Generated:** 2025-08-13T15:24:25

## Summary by state
| state | nto_sum | eig1 | eig2 | eig3 | eig4 | eig5 | eig6 | eig7 | eig8 | eig9 | eig10 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1.000000 | 0.995620 | 0.977637 | 0.010214 | 0.001700 | 0.001359 | 0.001124 | 0.001013 | 0.000805 | 0.000679 | 0.000575 | 0.000515 |
| 2.000000 | 0.999945 | 0.995183 | 0.004063 | 0.000348 | 0.000138 | 0.000084 | 0.000040 | 0.000035 | 0.000022 | 0.000017 | 0.000016 |
| 3.000000 | 0.999282 | 0.910360 | 0.076899 | 0.009383 | 0.001130 | 0.000417 | 0.000282 | 0.000273 | 0.000239 | 0.000169 | 0.000129 |
| 4.000000 | 0.996104 | 0.853036 | 0.115749 | 0.013034 | 0.004937 | 0.002935 | 0.002100 | 0.001559 | 0.001060 | 0.000895 | 0.000798 |
| 5.000000 | 0.997822 | 0.887061 | 0.096403 | 0.007167 | 0.002193 | 0.001390 | 0.001174 | 0.000926 | 0.000596 | 0.000476 | 0.000436 |

## NTO eigenvalues (wide)
| state | nto_sum | eig1 | eig2 | eig3 | eig4 | eig5 | eig6 | eig7 | eig8 | eig9 | eig10 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1.000000 | 0.995620 | 0.977637 | 0.010214 | 0.001700 | 0.001359 | 0.001124 | 0.001013 | 0.000805 | 0.000679 | 0.000575 | 0.000515 |
| 2.000000 | 0.999945 | 0.995183 | 0.004063 | 0.000348 | 0.000138 | 0.000084 | 0.000040 | 0.000035 | 0.000022 | 0.000017 | 0.000016 |
| 3.000000 | 0.999282 | 0.910360 | 0.076899 | 0.009383 | 0.001130 | 0.000417 | 0.000282 | 0.000273 | 0.000239 | 0.000169 | 0.000129 |
| 4.000000 | 0.996104 | 0.853036 | 0.115749 | 0.013034 | 0.004937 | 0.002935 | 0.002100 | 0.001559 | 0.001060 | 0.000895 | 0.000798 |
| 5.000000 | 0.997822 | 0.887061 | 0.096403 | 0.007167 | 0.002193 | 0.001390 | 0.001174 | 0.000926 | 0.000596 | 0.000476 | 0.000436 |

